,Competition,wettbewerb,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,season
0,,LaLiga,29,25,6,4,-,-,2.544',2016
1,,Champions League,13,12,6,1,-,-,1.200',2016
2,,Club World Cup,2,4,-,-,-,-,202',2016
3,,Copa del Rey,2,1,-,-,-,-,180',2016
4,,LaLiga,29,25,6,4,-,-,2.544',2017
5,,Champions League,13,12,6,1,-,-,1.200',2017
6,,Club World Cup,2,4,-,-,-,-,202',2017
7,,Copa del Rey,2,1,-,-,-,-,180',2017
8,,Saudi Pro League,3,3,-,-,-,-,270',2025
9,,Saudi Super Cup,2,1,1,-,-,-,180',2025
10,,King's Cup,-,-,-,-,-,-,-,2025
